K,true_mean,n_per_arm,n_sims,winner_observed_mean,winners_curse_bias,demo
2,0.5,50,3000,0.5382733333333334,0.03827333333333338,winners_curse
3,0.5,50,3000,0.55894,0.05893999999999999,winners_curse
4,0.5,50,3000,0.57204,0.07203999999999999,winners_curse
5,0.5,50,3000,0.5813866666666667,0.08138666666666672,winners_curse
7,0.5,50,3000,0.59456,0.09455999999999998,winners_curse
10,0.5,50,3000,0.6081666666666666,0.10816666666666663,winners_curse
15,0.5,50,3000,0.6215933333333332,0.12159333333333322,winners_curse
20,0.5,50,3000,0.6311,0.1311,winners_curse
